"VESSEL","CRUISE","HAUL","RACEBASE_ST","RACE_DATA_ST","BTD_ST"
176,202201,18,6.6,6.601,6.601
176,202201,23,5.5,5.44811111111111,5.44811111111111
134,202301,3,5.2,5.1465,5.1465
134,202301,4,5.1,5.06,5.06
134,202301,5,5.4,5.40471428571429,5.40471428571429
134,202301,6,5.3,5.338,5.338
134,202301,7,3.3,3.28625,3.28625
134,202301,8,4,4.0025,4.0025
134,202301,9,4.5,4.48866666666667,4.48866666666667
134,202301,10,4.5,4.512,4.512
134,202301,11,4,3.948,3.948
134,202301,12,3.2,3.14775,3.14775
134,202301,13,4.2,4.2175,NA
134,202301,14,2.7,2.71325,NA
