"VESSEL","CRUISE","HAUL","RACEBASE_ST","RACE_DATA_ST","SURFACE_TEMPERATURE_METHOD","GEAR_TEMPERATURE_METHOD","N_UPCAST_TEMPERATURE_OBS","RACE_DATA_ST_V2"
176,202201,1,7.5,7.4725,3,3,60,7.4725
176,202201,2,7.6,7.62633333333333,14,14,132,7.62633333333333
176,202201,3,6.3,6.309,14,14,100,6.309
176,202201,4,6.9,6.87055555555556,14,14,155,6.87055555555556
176,202201,5,6.3,6.3171,14,14,125,6.3171
176,202201,6,6.2,6.18414285714286,14,14,129,6.18414285714286
176,202201,7,6,5.984,14,14,125,5.984
176,202201,8,6.2,6.18066666666667,14,14,152,6.18066666666667
176,202201,9,6.2,6.19225,14,14,186,6.19225
176,202201,10,6.2,6.20725,14,14,263,6.20725
176,202201,11,6.3,6.345,14,14,133,6.345
176,202201,12,6.6,6.596,14,14,187,6.596
176,202201,13,7.4,7.3865,14,14,287,7.3865
176,202201,14,7.9,7.935,14,14,170,7.935
176,202201,15,6.7,6.67011111111111,14,14,117,6.67011111111111
176,202201,16,6.1,6.11,14,14,119,6.11
176,202201,17,6.3,6.2688,14,14,332,6.2688
176,202201,18,6.6,6.601,14,14,159,6.601
176,202201,19,7.8,7.802,14,14,342,7.802
176,202201,20,5.8,5.831,14,14,116,5.831
176,202201,21,5.6,5.64233333333333,14,14,119,5.64233333333333
176,202201,22,5.7,5.7188,14,14,132,5.7188
176,202201,23,5.5,5.44811111111111,14,14,81,5.44811111111111
176,202201,24,5.5,5.47657142857143,14,14,85,5.47657142857143
176,202201,25,5.3,NA,14,14,202,5.31
176,202201,26,6,5.94863636363636,14,14,212,5.94863636363636
176,202201,27,4.8,4.8326,14,14,328,4.8326
176,202201,28,5.9,NA,14,14,22,5.908
176,202201,29,6,NA,3,3,0,NA
176,202201,31,4.6,4.6045,14,14,80,4.6045
176,202201,32,4.8,4.7674,14,14,247,4.7674
176,202201,33,5.4,5.43172727272727,14,14,174,5.43172727272727
176,202201,34,5.2,5.175,14,14,198,5.175
176,202201,35,5,4.97977777777778,14,14,216,4.97977777777778
176,202201,36,5.2,5.226,14,14,269,5.226
176,202201,37,5.3,5.2812,14,14,63,5.2812
176,202201,38,NA,NA,NA,NA,0,NA
176,202201,39,5,5.0047,14,14,240,5.0047
176,202201,40,4.7,4.6686,14,14,205,4.6686
176,202201,41,4.8,4.75966666666667,14,14,117,4.75966666666667
176,202201,42,5.1,5.0754,14,14,299,5.12366666666667
176,202201,43,5,4.968,14,14,242,4.968
176,202201,44,4.9,4.877,14,14,974,4.877
176,202201,45,5,5.04133333333333,14,14,232,5.04133333333333
176,202201,46,6.1,6.114,14,14,121,6.114
176,202201,47,6.1,6.057,14,14,161,6.057
176,202201,48,5.8,5.8164,14,14,149,5.8164
176,202201,49,6,5.96242857142857,14,14,143,5.96242857142857
176,202201,50,6,NA,14,14,125,5.96066666666667
176,202201,51,5.6,5.6015,14,14,113,5.6015
176,202201,52,6.3,6.29533333333333,14,14,171,6.29533333333333
176,202201,53,6.3,6.267,14,14,142,6.267
176,202201,54,6.2,6.23825,14,14,133,6.23825
176,202201,55,5.9,5.89814285714286,14,14,220,5.89814285714286
176,202201,56,6.2,6.1768,14,14,146,6.1768
176,202201,57,6.8,6.78,14,14,193,6.78
176,202201,58,6.1,6.046,14,14,243,6.046
176,202201,59,5.4,NA,14,14,270,5.39666666666667
176,202201,60,6,6.02933333333333,14,14,110,6.02933333333333
176,202201,61,6.4,6.407,14,14,183,6.407
176,202201,62,6.3,6.267625,14,14,177,6.267625
176,202201,63,5.7,5.68216666666667,14,14,203,5.68216666666667
176,202201,64,5.6,5.621375,14,14,197,5.621375
176,202201,65,5.6,5.555,14,14,279,5.555
176,202201,66,5.2,NA,14,14,192,5.22133333333333
176,202201,67,6.9,6.941375,14,14,155,6.941375
176,202201,68,7,NA,14,14,144,6.96693333333333
176,202201,69,6.4,6.37085714285714,14,14,207,6.37085714285714
176,202201,70,6.5,6.45257142857143,14,14,201,6.45257142857143
176,202201,71,6.5,6.4535,14,14,202,6.4535
176,202201,72,6.5,6.49,14,14,62,6.49
176,202201,73,6.8,6.8,14,14,196,6.8
176,202201,74,5.7,NA,14,14,132,5.688
176,202201,75,6,NA,14,14,121,6.039875
176,202201,76,5.4,5.429,14,14,222,5.429
176,202201,77,5.8,5.7574,14,14,200,5.7574
176,202201,78,6.1,6.11085714285714,14,14,229,6.11085714285714
176,202201,79,5.6,5.554,14,14,218,5.554
176,202201,80,6.7,6.7005,14,14,179,6.7005
176,202201,81,7,NA,14,14,41,6.989
176,202201,82,7.1,7.10966666666667,14,14,256,7.10966666666667
176,202201,83,7.3,7.26,14,14,155,7.26
176,202201,84,6.9,6.91155555555556,14,14,203,6.91155555555556
176,202201,85,4.7,NA,14,14,197,4.677
176,202201,86,5,4.967,14,14,176,4.967
176,202201,87,5,5.008,14,14,164,5.008
176,202201,88,4.8,NA,14,14,199,4.80675
176,202201,89,5.2,5.23425,14,14,204,5.23425
176,202201,90,4.9,NA,14,14,234,4.94425
176,202201,91,5.6,5.62128571428571,14,14,114,5.62128571428571
176,202201,92,5.8,NA,14,14,128,5.762
176,202201,93,5.8,5.82,14,14,132,5.82
176,202201,94,6,6.00561538461538,14,14,163,6.00561538461538
176,202201,96,5.7,NA,14,14,125,5.69430769230769
176,202201,97,5.4,NA,14,14,137,5.38009090909091
176,202201,98,5.4,5.40655555555556,14,14,192,5.40655555555556
176,202201,99,5.5,NA,14,14,255,5.48823076923077
176,202201,100,6.2,6.22926666666667,14,14,252,6.22926666666667
176,202201,101,5.8,NA,14,14,275,5.84015384615385
176,202201,102,6.1,NA,14,14,236,6.13118181818182
176,202201,103,6.2,NA,14,14,234,6.14975
176,202201,104,6.1,NA,14,14,195,6.08428571428571
176,202201,105,5.9,5.86188888888889,14,14,200,5.86188888888889
176,202201,106,6,6.008,14,14,118,6.008
176,202201,107,6,NA,14,14,129,6.04
176,202201,108,6.4,6.41642857142857,14,14,148,6.41642857142857
176,202201,109,5.5,NA,14,14,107,5.53377777777778
176,202201,111,6.7,6.64653846153846,14,14,190,6.64653846153846
176,202201,112,6.6,6.61866666666667,14,14,151,6.61866666666667
176,202201,113,7.4,7.34833333333333,14,14,206,7.34833333333333
176,202201,114,6.4,NA,14,14,113,6.43515384615385
176,202201,115,5.7,NA,14,14,171,5.65514285714286
176,202201,116,5.9,5.858,14,14,198,5.858
176,202201,117,5.3,5.284,14,14,127,5.284
176,202201,118,5.5,NA,14,14,101,5.52854545454545
176,202201,119,5.4,5.433,14,14,140,5.433
176,202201,120,5.4,5.4088,14,14,189,5.4088
176,202201,121,5.3,5.303,14,14,148,5.303
176,202201,122,5.5,NA,14,14,204,5.49375
176,202201,123,6.2,6.214,14,14,308,6.214
176,202201,124,5.7,5.66533333333333,14,14,94,5.66533333333333
176,202201,125,5.7,5.6573125,14,14,146,5.6573125
176,202201,126,5.8,NA,14,14,189,5.7874
176,202201,127,8,8.026375,14,14,155,8.026375
176,202201,128,7.4,NA,14,14,174,7.41033333333333
176,202201,129,7.5,7.5402,14,14,145,7.5402
176,202201,130,5.9,5.928,14,14,267,5.928
176,202201,131,6.1,NA,3,3,0,NA
176,202201,132,5.1,NA,14,14,87,5.10957142857143
176,202201,133,7.9,7.8472,14,14,141,7.8472
176,202201,134,6,5.963,14,14,177,5.963
176,202201,135,5,5.01,14,14,84,5.01
176,202201,136,6.1,6.143,14,14,231,6.143
176,202201,137,5.1,NA,14,14,91,5.136
176,202201,138,5.4,5.401,14,14,146,5.401
176,202201,139,5.2,NA,14,14,124,5.178625
176,202201,140,6,6.025,14,14,131,6.025
176,202201,141,8.6,8.59470588235294,14,14,221,8.59470588235294
176,202201,142,5.3,NA,14,14,132,5.28652941176471
176,202201,143,5.2,NA,14,14,151,5.22175
176,202201,144,5.8,NA,14,14,106,5.754
176,202201,145,7,NA,14,14,116,7.047
176,202201,146,7.5,NA,14,14,206,7.437
176,202201,147,7.2,NA,14,14,106,7.178
176,202201,148,6.7,NA,14,14,144,6.69245454545455
176,202201,149,6,NA,14,14,99,6.00311764705882
176,202201,150,5.2,NA,14,14,86,5.15892307692308
176,202201,151,6.4,NA,14,14,79,6.41661538461539
176,202201,152,9.2,9.16928571428571,14,14,77,9.16928571428571
176,202201,153,6.1,NA,14,14,66,6.08733333333333
176,202201,154,7.3,NA,14,14,128,7.27
176,202201,155,7,NA,14,14,80,7.0422
176,202201,156,5.1,5.1285,14,14,102,5.1285
176,202201,157,5.2,5.21123529411765,14,14,107,5.21123529411765
176,202201,158,6.2,NA,14,14,115,6.141
176,202201,159,6,6.02235294117647,14,14,155,6.02235294117647
176,202201,160,5.8,5.75983333333333,14,14,111,5.75983333333333
176,202201,161,5.9,NA,14,14,118,5.839
176,202201,162,5.4,5.43457142857143,14,14,124,5.43457142857143
176,202201,163,8.1,NA,14,14,103,8.10385714285714
176,202201,164,7.7,7.66061111111111,14,14,119,7.66061111111111
176,202201,165,7.5,NA,14,14,104,7.54413333333333
176,202201,166,6,NA,14,14,164,6.00875
176,202201,167,5.5,NA,14,14,76,5.47
176,202201,168,5.4,5.411,14,14,95,5.411
176,202201,169,7.8,NA,14,14,76,7.81826666666667
176,202201,170,9.4,NA,14,14,119,9.39321428571429
176,202201,171,11.7,11.6704285714286,14,14,144,11.6704285714286
176,202201,172,11.8,11.807,14,14,245,11.807
176,202201,173,11.7,11.728125,14,14,125,11.728125
176,202201,174,11.8,11.7893333333333,14,14,129,11.7893333333333
176,202201,175,11.9,11.872,14,14,161,11.872
176,202201,176,11.7,11.67025,14,14,157,11.67025
176,202201,177,9.8,9.75033333333333,14,14,96,9.75033333333333
176,202201,178,11.9,11.8774,14,14,93,11.8774
176,202201,179,12.1,12.095,14,14,134,12.095
176,202201,180,11.9,11.9330588235294,14,14,178,11.9330588235294
176,202201,181,11.1,11.1026666666667,14,14,125,11.1026666666667
176,202201,182,10.9,10.8523333333333,14,14,193,10.8523333333333
176,202201,183,10.1,10.09545,14,14,110,10.09545
176,202201,184,11.2,NA,14,14,116,11.1552222222222
176,202201,185,10.7,NA,14,14,114,10.7405294117647
176,202201,186,9.6,NA,14,14,138,9.447
176,202201,187,10.2,NA,14,14,101,10.17675
176,202201,188,9.3,NA,14,14,104,9.32128571428571
176,202201,189,9.6,9.6134,14,14,150,9.6134
176,202201,190,9.8,9.7821,14,14,147,9.7821
176,202201,191,10.6,10.5641428571429,14,14,122,10.5641428571429
176,202201,192,9.4,NA,14,14,119,9.386
176,202201,193,10.1,10.133,14,14,180,10.133
176,202201,194,9.9,9.93547058823529,14,14,196,9.93547058823529
176,202201,195,10.5,NA,14,14,117,10.5469090909091
176,202201,196,10.1,10.115,14,14,90,10.115
176,202201,197,10.4,10.358,14,14,91,10.358
176,202201,198,8.4,8.366,14,14,63,8.366
176,202201,199,8.4,8.3873,14,14,94,8.3873
176,202201,200,10.8,NA,14,14,120,10.8257272727273
176,202201,201,8.1,NA,14,14,100,8.119
176,202201,202,8,NA,14,14,90,8.02253846153846
176,202201,203,5.7,NA,14,14,140,5.70178571428571
176,202201,204,6.4,NA,14,14,141,6.3964
176,202201,205,8.3,8.296,14,14,147,8.296
176,202201,206,8.9,NA,14,14,105,8.87169230769231
176,202201,207,9.6,9.572,14,14,110,9.572
176,202201,208,8.8,8.82,14,14,215,8.82
176,202201,209,8.5,8.54385714285714,14,14,120,8.54385714285714
176,202201,210,8.4,8.3815,14,14,89,8.3815
176,202201,211,8.8,8.7595,14,14,74,8.7595
176,202201,212,8.5,NA,14,14,77,8.51731578947368
176,202201,213,8.2,8.17833333333333,14,14,107,8.17833333333333
176,202201,214,9.5,9.49184615384615,14,14,120,9.49184615384615
176,202201,215,8.8,8.8154,14,14,145,8.8154
176,202201,216,7,NA,14,14,94,7.03526666666667
176,202201,217,7.5,NA,14,14,87,7.48471428571429
176,202201,218,7.4,NA,14,14,155,7.4392
176,202201,219,6.3,NA,14,14,92,6.333
176,202201,220,6.5,NA,14,14,90,6.55066666666667
176,202201,221,5.7,5.69625,14,14,108,5.69625
176,202201,222,7.4,NA,14,14,119,7.40825
176,202201,223,7.2,7.2104,14,14,134,7.2104
176,202201,224,9.7,9.7315,14,14,105,9.7315
176,202201,225,5.8,5.78233333333333,14,14,76,5.78233333333333
176,202201,226,6.3,NA,14,14,59,6.279
176,202201,227,6.9,NA,14,14,124,6.90366666666667
